organism,type,x_A,x_V,x_L,x_I,x_F,x_G,x_S,x_T,x_Y,x_N,x_Q,x_D,x_E,x_K,x_R,x_H
Rhyacophila obliterata,heavy chain,3.678,20.383,5.742,27.759,0.000,10.322,11.244,1.351,0.000,0.522,0.309,5.858,2.703,4.054,0.000,6.076
Limnephilus decipiens,heavy chain,0.000,45.070,1.408,14.085,0.000,14.085,8.451,0.000,1.408,0.000,0.000,0.000,0.000,1.408,14.085,0.000
Plectrocnemia conspersa,heavy chain,59.177,4.026,0.303,2.814,0.000,27.273,1.255,1.602,0.649,0.649,0.000,1.948,0.000,0.000,0.303,0.000
Hydropsyche angustipennis,heavy chain,26.378,29.464,0.000,1.340,0.670,7.720,4.195,0.000,7.879,0.000,0.000,1.470,2.810,2.140,7.043,8.889
