organism,type,x_A,x_L,x_F,x_W,x_G,x_S,x_T,x_Y,x_N,x_D,x_E,x_K
Rhyacophila obliterata,light chain,16.667,0.000,0.000,16.667,16.667,0.000,16.667,16.667,0.000,0.000,16.667,0.000
Limnephilus lunatus,light chain,0.000,33.333,0.000,33.333,0.000,0.000,0.000,0.000,33.333,0.000,0.000,0.000
Limnephilus decipiens,light chain,0.000,33.333,0.000,33.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33.333
Plectrocnemia conspersa,light chain,0.000,0.000,0.000,0.000,0.000,33.333,0.000,0.000,66.667,0.000,0.000,0.000
Stenopsyche marmorata,light chain,0.000,0.000,0.000,0.000,33.333,0.000,0.000,0.000,33.333,33.333,0.000,0.000
Arctopsyche grandis,light chain,0.000,0.000,33.333,0.000,0.000,33.333,0.000,0.000,0.000,0.000,0.000,33.333
