organism,type,x_A,x_V,x_L,x_F,x_W,x_P,x_G,x_S,x_T,x_Y,x_N,x_D,x_E,x_K,x_R
Rhyacophila obliterata,light chain,16.667,0.000,0.000,0.000,16.667,0.000,16.667,0.000,16.667,16.667,0.000,0.000,16.667,0.000,0.000
Limnephilus lunatus,light chain,28.571,0.000,28.571,0.000,14.286,0.000,0.000,0.000,0.000,0.000,14.286,0.000,0.000,14.286,0.000
Limnephilus flavicornis,light chain,25.000,0.000,25.000,0.000,0.000,0.000,0.000,25.000,0.000,0.000,0.000,0.000,0.000,25.000,0.000
Limnephilus decipiens,light chain,28.571,0.000,28.571,0.000,14.286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,28.571,0.000
Plectrocnemia conspersa,light chain,14.286,14.286,0.000,0.000,0.000,14.286,0.000,28.571,0.000,0.000,28.571,0.000,0.000,0.000,0.000
Stenopsyche marmorata,light chain,20.000,0.000,0.000,0.000,0.000,0.000,20.000,20.000,0.000,0.000,20.000,20.000,0.000,0.000,0.000
Hydropsyche angustipennis,light chain,0.000,0.000,50.000,0.000,50.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Arctopsyche grandis,light chain,0.000,0.000,0.000,20.000,0.000,0.000,0.000,20.000,0.000,0.000,0.000,0.000,0.000,40.000,20.000
